trial,response,c,wave_length,fix_time,presti_time,sti_time,phase,n_pix
120,10,0.08330889180705163,24,120,120,24,0.0,142
121,1,0.009447387716369387,24,120,120,24,0.0,142
122,7,0.1126134007867119,24,120,120,24,0.0,142
123,0,0.005911415873663438,24,120,120,24,0.0,142
124,7,0.04263883409802467,24,120,120,24,0.0,142
125,9,0.09366911431812125,24,120,120,24,0.0,142
126,6,0.036064823562819676,24,120,120,24,0.0,142
127,2,0.014120281694985958,24,120,120,24,0.0,142
128,0,0.011549882070258807,24,120,120,24,0.0,142
129,5,0.04714528076548078,24,120,120,24,0.0,142
130,9,0.09525078525470318,24,120,120,24,0.0,142
131,3,0.015612637143580618,24,120,120,24,0.0,142
132,11,0.11074341785042745,24,120,120,24,0.0,142
133,0,0.010984014490497141,24,120,120,24,0.0,142
134,0,0.005000000000000002,24,120,120,24,0.0,142
135,0,0.011169487542239792,24,120,120,24,0.0,142
136,6,0.05861060283285691,24,120,120,24,0.0,142
137,3,0.023729032932961247,24,120,120,24,0.0,142
138,4,0.03429788652399264,24,120,120,24,0.0,142
139,8,0.07791171313402485,24,120,120,24,0.0,142
140,10,0.07922730892224675,24,120,120,24,0.0,142
141,5,0.025801252779618897,24,120,120,24,0.0,142
142,0,0.006320917428658702,24,120,120,24,0.0,142
143,0,0.007226987846679277,24,120,120,24,0.0,142
144,9,0.10531772523708698,24,120,120,24,0.0,142
145,10,0.06163006716459963,24,120,120,24,0.0,142
146,12,0.04957408181513595,24,120,120,24,0.0,142
147,0,0.0066465544942619,24,120,120,24,0.0,142
148,11,0.10015785555847133,24,120,120,24,0.0,142
149,7,0.056680266880862674,24,120,120,24,0.0,142
150,8,0.09211370755295731,24,120,120,24,0.0,142
151,1,0.023335004457050012,24,120,120,24,0.0,142
152,3,0.03667380426769253,24,120,120,24,0.0,142
153,2,0.024951490391249994,24,120,120,24,0.0,142
154,0,0.007106981312291582,24,120,120,24,0.0,142
155,2,0.029499727274079183,24,120,120,24,0.0,142
156,4,0.07661796325097797,24,120,120,24,0.0,142
157,0,0.00913623868735593,24,120,120,24,0.0,142
158,2,0.029997851566234232,24,120,120,24,0.0,142
159,3,0.039214308978606255,24,120,120,24,0.0,142
160,6,0.044835474850436555,24,120,120,24,0.0,142
161,5,0.03546595518488732,24,120,120,24,0.0,142
162,1,0.010272413514101596,24,120,120,24,0.0,142
163,1,0.013205497191576474,24,120,120,24,0.0,142
164,9,0.060606679422512466,24,120,120,24,0.0,142
165,8,0.04409096689379182,24,120,120,24,0.0,142
166,13,0.08614610761116859,24,120,120,24,0.0,142
167,13,0.08471562287192054,24,120,120,24,0.0,142
168,13,0.048750887715422596,24,120,120,24,0.0,142
169,3,0.011358092440990893,24,120,120,24,0.0,142
170,0,0.00993409232029696,24,120,120,24,0.0,142
171,0,0.006536186248542236,24,120,120,24,0.0,142
172,0,0.006011234418436566,24,120,120,24,0.0,142
173,4,0.021823242799215607,24,120,120,24,0.0,142
174,2,0.012144901661618995,24,120,120,24,0.0,142
175,8,0.09685916385228772,24,120,120,24,0.0,142
176,1,0.011943231534339085,24,120,120,24,0.0,142
177,2,0.016416959206500183,24,120,120,24,0.0,142
178,15,0.13314092899955832,24,120,120,24,0.0,142
179,4,0.020409420840270268,24,120,120,24,0.0,142
180,9,0.070464414606837,24,120,120,24,0.0,142
181,0,0.01234997713527608,24,120,120,24,0.0,142
182,1,0.013655231241813724,24,120,120,24,0.0,142
183,14,0.14,24,120,120,24,0.0,142
184,7,0.047941363027244284,24,120,120,24,0.0,142
185,1,0.008835337329038611,24,120,120,24,0.0,142
186,6,0.04636241771417513,24,120,120,24,0.0,142
187,2,0.013885809725924618,24,120,120,24,0.0,142
188,1,0.014358712893315207,24,120,120,24,0.0,142
189,2,0.019087193542576084,24,120,120,24,0.0,142
190,10,0.08907994927771778,24,120,120,24,0.0,142
191,1,0.009290510704409375,24,120,120,24,0.0,142
192,1,0.007990799427984273,24,120,120,24,0.0,142
193,5,0.039876471029151074,24,120,120,24,0.0,142
194,8,0.10890448660210873,24,120,120,24,0.0,142
195,3,0.01255851545705392,24,120,120,24,0.0,142
196,9,0.1309300796369519,24,120,120,24,0.0,142
197,0,0.005170282891932363,24,120,120,24,0.0,142
198,11,0.10709609141816008,24,120,120,24,0.0,142
199,12,0.11644862789797172,24,120,120,24,0.0,142
200,1,0.0056217957223020434,24,120,120,24,0.0,142
